nt_seq_ID	tip_labels	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	Location	Country	Year	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	host_taxon	host_genus
Hubei_chryso_like_virus_1_F1427C12F1425	Hubei_chryso_like_virus_1_F1427C12F1425	C12	F1427	F1425	F1427_NODE_12_length_3581_cov_418.068633_1	F1427_NODE_12_length_3581_cov_418.068633	Cambodia:Kompong Thom	Cambodia	2019	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17	Culex quinquefasciatus	Culex
Hubei_chryso_like_virus_1_F1427C12F1425	Hubei_chryso_like_virus_1_F1427C12F1425	C12	F1427	F1425	F1427_NODE_12_length_3581_cov_418.068633_1	F1427_NODE_12_length_3581_cov_418.068633	Cambodia:Kompong Thom	Cambodia	2019	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17	Culex quinquefasciatus	Culex
Hubei_chryso_like_virus_1_F1427C12F1425	Hubei_chryso_like_virus_1_F1427C12F1425	C12	F1427	F1425	F1427_NODE_12_length_3581_cov_418.068633_1	F1427_NODE_12_length_3581_cov_418.068633	Cambodia:Kompong Thom	Cambodia	2019	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17	Culex quinquefasciatus	Culex
Hubei_chryso_like_virus_1_F1427C12F1427	Hubei_chryso_like_virus_1_F1427C12F1427	C12	F1427	F1427	F1427_NODE_12_length_3581_cov_418.068633_1	F1427_NODE_12_length_3581_cov_418.068633	Cambodia:Kompong Thom	Cambodia	2019	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17	Culex quinquefasciatus	Culex
Hubei_chryso_like_virus_1_F1427C12F1427	Hubei_chryso_like_virus_1_F1427C12F1427	C12	F1427	F1427	F1427_NODE_12_length_3581_cov_418.068633_1	F1427_NODE_12_length_3581_cov_418.068633	Cambodia:Kompong Thom	Cambodia	2019	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17	Culex quinquefasciatus	Culex
Hubei_chryso_like_virus_1_F1427C12F1427	Hubei_chryso_like_virus_1_F1427C12F1427	C12	F1427	F1427	F1427_NODE_12_length_3581_cov_418.068633_1	F1427_NODE_12_length_3581_cov_418.068633	Cambodia:Kompong Thom	Cambodia	2019	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17	Culex quinquefasciatus	Culex
Hubei_chryso_like_virus_1_F1427C12F1431	Hubei_chryso_like_virus_1_F1427C12F1431	C12	F1427	F1431	F1427_NODE_12_length_3581_cov_418.068633_1	F1427_NODE_12_length_3581_cov_418.068633	Cambodia:Kompong Thom	Cambodia	2019	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17	Culex quinquefasciatus	Culex
Hubei_chryso_like_virus_1_F1427C12F1431	Hubei_chryso_like_virus_1_F1427C12F1431	C12	F1427	F1431	F1427_NODE_12_length_3581_cov_418.068633_1	F1427_NODE_12_length_3581_cov_418.068633	Cambodia:Kompong Thom	Cambodia	2019	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17	Culex quinquefasciatus	Culex
Hubei_chryso_like_virus_1_F1427C12F1431	Hubei_chryso_like_virus_1_F1427C12F1431	C12	F1427	F1431	F1427_NODE_12_length_3581_cov_418.068633_1	F1427_NODE_12_length_3581_cov_418.068633	Cambodia:Kompong Thom	Cambodia	2019	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17	Culex quinquefasciatus	Culex
Agrichlet_virus_F1434C1F1407	Agrichlet_virus_F1434C1F1407	C1	F1434	F1407	F1434_NODE_1_length_7484_cov_199.621349_3	F1434_NODE_1_length_7484_cov_199.621349	Cambodia:Kompong Thom	Cambodia	2019	Culex bitaeniorhynchus	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	Culex sp bitaeniorhynchus or sinensis or vishnui.g	Culex
Agrichlet_virus_F1434C1F1407	Agrichlet_virus_F1434C1F1407	C1	F1434	F1407	F1434_NODE_1_length_7484_cov_199.621349_3	F1434_NODE_1_length_7484_cov_199.621349	Cambodia:Kompong Thom	Cambodia	2019	Culex bitaeniorhynchus	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	Culex sp bitaeniorhynchus or sinensis or vishnui.g	Culex
