sample_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
F1146	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1134	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1139	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1140	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1315	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1148	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1149	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1054	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1450	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1453	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1324	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1466	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9
F1609	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1605	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1312	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1455	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1588	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9
F1610	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1317	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1613	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1326	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1132	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9
F1142	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9
F1144	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1150	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1462	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9
F1057	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1055	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1252	Culex cinctellus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9
F1238	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1414	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1558	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1239	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1403	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1024	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1404	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1240	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1244	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1413	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1557	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1243	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1242	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1412	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1554	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1245	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1556	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1553	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1408	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1241	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1402	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1401	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1410	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1400	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10
F1435	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1460	Culex vishnui.g	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1443	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1584	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1497	Mansonia uniformis	misannotated, mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1446	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1405	Culex bitaeniorhynchus	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1407	Culex bitaeniorhynchus	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1409	Culex bitaeniorhynchus	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1441	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1452	Culex vishnui.g	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1445	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1406	Culex bitaeniorhynchus	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1439	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1437	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1436	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1434	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1440	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1456	Culex vishnui.g	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1454	Culex vishnui.g	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11
F1590	Culex sinensis	internally divergent	Culex sinensis	_	cluster12
F1586	Culex sinensis	internally divergent	Culex sinensis	_	cluster12
F1447	Culex sinensis	internally divergent	Culex sinensis	_	cluster12
F1583	Culex sinensis	internally divergent	Culex sinensis	_	cluster12
F1444	Culex sinensis	internally divergent	Culex sinensis	_	cluster12
F1032	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1025	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1026	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1309	Culex sinensis	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1260	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1030	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1313	Culex sinensis	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1036	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1029	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1031	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1034	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1038	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1033	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1056	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1263	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1270	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1272	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1327	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1304	Culex sinensis	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1027	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1310	Culex sinensis	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1266	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1265	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1585	Culex sinensis	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1268	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1307	Culex sinensis	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1306	Culex sinensis	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1316	Culex sinensis	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1264	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1271	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1269	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13
F1332	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14
F1261	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14
F1457	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14
