sample_id	ref_id	total_reads	mapped_reads	average_cov	norm_average_cov	percentage_covered	norm_average_cov_LFC	contig_kmer_cov	contig_len	selected	RPKM	RPKM_LFC
F1191	F1161_NODE_3382_length_1119_cov_2.171992	11134406	1	0.066130473637176	0.00593929066689108	6.6130473637176	-7.12528786657916	2.171992	1119	no	0.0802606846877173	-7.177427985389
F1194	F1161_NODE_3382_length_1119_cov_2.171992	15980191	3	0.17426273458445	0.0109049218863811	17.426273458445	-6.24867097528588	2.171992	1119	no	0.167768029021248	-6.11372554149522
F1197	F1161_NODE_3382_length_1119_cov_2.171992	24330115	4	0.268096514745308	0.0110191223816784	21.2689901697945	-6.23364108606071	2.171992	1119	no	0.146921631755711	-6.30514652973748
F1337	F1161_NODE_3382_length_1119_cov_2.171992	7798139	10	0.655942806076854	0.0841153005963159	38.9633601429848	-3.30128216008109	2.171992	1119	no	1.14598502174817	-3.34167707121782
F1340	F1161_NODE_3382_length_1119_cov_2.171992	5006977	10	0.645218945487042	0.128863972310446	32.7971403038427	-2.68587334365864	2.171992	1119	no	1.78481956108652	-2.70248702883933
F1341	F1161_NODE_3382_length_1119_cov_2.171992	13866311	46	2.89186773905273	0.208553503455441	93.7444146559428	-1.99130476814603	2.171992	1119	yes	2.96460480808106	-1.97042545769988
F1343	F1161_NODE_3382_length_1119_cov_2.171992	9555371	15	1.00089365504915	0.10474670790377	46.8275245755138	-2.98481741415939	2.171992	1119	no	1.40285769513977	-3.04989658867673
F1344	F1161_NODE_3382_length_1119_cov_2.171992	10447635	6	0.402144772117962	0.0384914645389088	13.4048257372654	-4.42911184661576	2.171992	1119	no	0.513219527185451	-4.50061729029253
F1348	F1161_NODE_3382_length_1119_cov_2.171992	12412232	2	0.134048257372654	0.0107996899649196	13.4048257372654	-6.26266051463977	2.171992	1119	no	0.143995866198928	-6.33416595831653
F1349	F1161_NODE_3382_length_1119_cov_2.171992	10370252	41	2.74620196604111	0.264815355117803	36.4611260053619	-1.64673553801974	2.171992	1119	no	3.53316939792708	-1.71730233817551
F1351	F1161_NODE_3382_length_1119_cov_2.171992	15759122	61	4.03932082216265	0.256316362178213	13.4048257372654	-1.69379673890601	2.171992	1119	no	3.4591367462104	-1.74785321182656
F1352	F1161_NODE_3382_length_1119_cov_2.171992	10268241	27	1.74530831099196	0.169971498622983	84.4504021447721	-2.28642946535102	2.171992	1119	yes	2.34983638649285	-2.30570495025523
F1353	F1161_NODE_3382_length_1119_cov_2.171992	8296267	4	0.268096514745308	0.0323153190158065	12.0643431635389	-4.68143217713098	2.171992	1119	no	0.430870920210754	-4.75293762080775
F1508	F1161_NODE_3382_length_1119_cov_2.171992	12420727	70	4.67113494191242	0.376075807954915	87.0420017873101	-1.14069881188126	2.171992	1119	yes	5.03640837131127	-1.20586999207707
F1509	F1161_NODE_3382_length_1119_cov_2.171992	13996422	107	6.9544235924933	0.496871528487302	95.7998212689902	-0.73884944058663	2.171992	1119	yes	6.83182389464679	-0.765994472339226
F1511	F1161_NODE_3382_length_1119_cov_2.171992	10784438	31	1.89812332439678	0.176005770944836	90.1697944593387	-2.2360995828922	2.171992	1119	yes	2.5688224572928	-2.17715807649037
F1513	F1161_NODE_3382_length_1119_cov_2.171992	7810514	30	1.88650580875782	0.241534143432535	71.4030384271671	-1.77949517232995	2.171992	1119	no	3.43250795972337	-1.75900219324947
F1514	F1161_NODE_3382_length_1119_cov_2.171992	10455721	99	6.49329758713137	0.621028199502585	91.331546023235	-0.417063536678945	2.171992	1119	yes	8.46157332105091	-0.457339320195707
F1515	F1161_NODE_3382_length_1119_cov_2.171992	9775916	10	0.596961572832887	0.0610645153694944	42.627345844504	-3.7633161385721	2.171992	1119	no	0.914139451639138	-3.66777908933968
F1517	F1161_NODE_3382_length_1119_cov_2.171992	10756833	206	13.4396782841823	1.24940847219459	98.5701519213583	0.591450996631008	2.171992	1119	yes	17.1140464972461	0.558843751129835
F1518	F1161_NODE_3382_length_1119_cov_2.171992	14679450	39	2.44504021447721	0.166562113326944	66.934763181412	-2.31566203750268	2.171992	1119	no	2.37424065049372	-2.29079908670721
F1519	F1161_NODE_3382_length_1119_cov_2.171992	10369657	39	2.46112600536193	0.237339191196192	91.9571045576407	-1.8047719675302	2.171992	1119	yes	3.36101251149291	-1.78936934598381
F1520	F1161_NODE_3382_length_1119_cov_2.171992	13514728	91	5.67828418230563	0.420155269296254	99.9106344950849	-0.980799738640987	2.171992	1119	yes	6.01733231129354	-0.949141226336668
