sample	refs
F1162	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1163	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1164	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1165	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1167	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1168	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1171	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1335	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1336	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1339	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1341	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1342	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1343	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1344	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1345	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1348	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1349	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1350	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1419	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1420	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1422	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1423	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1424	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1425	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1426	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1427	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1428	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1429	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
